Palavra,Pronuncia
inerente,tS
embuste,tS
empatia,tS
condescendente,tS
perspectiva,tS
intrínseco,t
intempérie,t
retificar,tS
remanescente,tS
prudente,tS
estória,t
exceto,t
contemporâneo,t
âmbito,t
fato,t
implícito,t
iminente,tS
complacente,tS
detrimento,t
plenitude,t
maturidade,t
respeito,t
sucinto,t
inconveniente,tS
vicissitude,t
extensão,t
prerrogativa,tS
extrovertido,tS
eminente,tS
indulgente,tS
incipiente,tS
contundente,tS
hermético,tS
encarecidamente,tS
ratificar,tS
propósito,t
êxito,t
intrinsecamente,tS
reiterar,t
arbitrário,t
mister,t
incidente,tS
característica,t
caráter,t
abstrato,t
procrastinar,tS
hipócrita,t
estável,t
dicotomia,t
expectativa,t
independente,tS
demasiadamente,tS
subestimar,tS
heterogeneidade,t
circunstância,t
conserto,t
termo,t
notívago,tS
apático,tS
mérito,t
extraordinário,t
beligerante,tS
peremptório,t
subterfúgio,t
astúcia,t
refutar,t
modéstia,tS
conceito,t
indiferente,tS
disruptivo,tS
simultaneamente,t
exortar,t
impetuoso,t
pretensioso,t
felicitações,t
beneplácito,t
mito,t
eclesiástico,tS
pragmático,tS
inóspito,t
discernimento,t
aleatório,t
autóctone,t
analítico,tS
contingente,tS
retrógrado,t
explícito,t
distinto,tS
inusitado,t
contencioso,t
suscitar,t
autêntico,t
precedente,tS
suscetível,tS
concernente,tS
ativista,tS
imputar,t
taciturno,t
pretensão,t
pressuposto,t
critério,t
diligente,tS
destarte,t
gentil,tS
escrutínio,tS
proeminente,tS
despeito,t
solícito,t
monótono,t
antagonismo,t
pertinente,tS
afeto,t
consiste,tS
sutil,tS
resoluto,t
relativo,tS
entretanto,t
intermitente,t
verbete,tS
adjacente,tS
tribulação,t
abstrair,t
custódia,t
transcender,t
inato,t
portanto,t
constante,t
instigar,tS
metódico,t
trivial,t
fomentar,t
sintetizar,t
hostil,tS
contemplar,t
mútua,t
estagnado,t
restrição,t
litígio,t
signatário,t
síntese,t
puta,t
espontâneo,
infortúnio,
excerto,
aspecto,
retórica,
presteza,
transgressão,
interesse,
excêntrico,
supracitado,
fomento,
jactância,
instância,
coercitivo,
limítrofe,
determinação,
intervenção,
transeunte,
conjuntura,
através,
sintético,
utopia,
austero,
virtude,
altruísmo,
contenda,
desenvolvimento,
contudo,
excedente,
compartilhar,
cumprimento,
apetecer,
intensidade,
imanente,
história,
subsistência,
proveniente,
entediado,
outrem,
contíguo,
idiota,
anátema,
refletir,
pernóstico,
itinerário,
restringir,
suplantar,
déspota,
mitigar,
molestar,
sistematizar,
indubitável,
notório,
ética,
estirpe,
importante,
astuto,
maestria,
benevolente,
contexto,
salutar,
pretérito,
objetivo,
incauto,
sensato,
abster,
intransigente,
mediante,
salientar,
hábito,
impertinente,
concerto,
assento,
ímpeto,
intenso,
espectro,
excelente,
pleitear,
insólito,
prognóstico,
êxtase,
extravio,
emotivo,
preceito,
pejorativo,
estereotipado,
otário,
mútuo,
alento,
torpe,
controvérsia,
versátil,
segmento,
estúpido,
extemporâneo,
justo,
preconceito,
arquétipo,
hesitar,
obstinado,
constituir,
contingência,
exortação,
intuito,
isento,
displicente,
subjacente,
prepotente,
emergente,
veemente,
concomitante,
exótico,
meticuloso,
consoante,
divergente,
vitupério,
intenção,
também,
relevante,
íntegro,
tangível,
indolente,
imponente,
vertente,
enigmático,
estupefato,
conhecimento,
consubstanciar,
admoestação,
distinguir,
obstante,
altruísta,
acento,
saudosista,
estabelecer,
cortês,
satisfação,
ressentimento,
atribuição,
detém,
heterogêneo,
moléstia,
extasiado,
factível,
volátil,
vigente,
oportunista,
transcendente,
estrupo,
subsequente,
identificar,
intercorrência,
contenção,
modesto,
interlocutor,
outorgar,
ativismo,
admoestar,
deleitar,
comprobatório,
instável,
ciente,
distinção,
abrupto,
contrapartida,
muito,
apto,
fútil,
importância,
conveniente,
locatário,
sentido,
filantropo,
interação,
imutável,
excludente,
submeter,
retaliação,
permanente,
tange,
parâmetro,
excitado,
intersecção,
tendência,
atribulado,
situação,
cogitar,
subsistir,
outrossim,
epistemologia,
sutileza,
deleite,
estereótipo,
insolente,
intrépido,
nostalgia,
intangível,
consecutivo,
etéreo,
neófito,
conturbado,
importar,
fortuito,
objeto,
incitar,
extremista,
concomitantemente,
tergiversar,
mentecapto,
aptidão,
alteridade,
posterior,
resistência,
tráfego,
fleumático,
sensatez,
