axV,Pronúncia,REGRAS,ixV,Pronúncia,REGRAS,oxV,Pronúncia,REGRAS,uxV,Pronúncia,REGRAS
maxixe,sh,sh:,,,sh:,,,,,,
faxineira,sh,"axiC (C dif/ /l,s/)",prolixo,ks,VixV,paradoxo,,,esdrúxulo,,
xaxim,sh,axi#,abaixo,sh,ixV,coxo,,,luxúria,,
caxinguelê,sh,axeC,embaixo,sh,,ortodoxo,,,núxia,,
caxixe,sh,axe#,desleixo,sh,,heterodoxo,,,auxiliar,,
haxixe,sh,axeiC,fixo,ks,,muxoxo,,,rouxinol,,
faxinar,sh,axa,baixo,sh,,doxologia,,,fuxico,,
guaxinim,sh,,seixo,sh,,roxo,,,muxiba,,
caxingar,sh,,apaixonado,sh,,floxo,,,frouxidão,,
caxixi,sh,,eixo,sh,,xoxota,,,auxiliador,,
faxinal,sh,,quixotesco,sh,,inortodoxo,,,bauxita,,
abacaxizeiro,sh,,lixo,sh,,doxografia,,,fuxiqueiro,,
maxixeiro,sh,,sufixo,ks,,monóxido,,,fuxicar,,
caxiri,sh,,debaixo,sh,,toxoplasmose,,,cuxita,,
maxim,sh,,queixo,sh,,xoxo,,,bruxismo,,
caxinxa,sh,,apaixonar,sh,,pintarroxo,,,trouxinha,,
caxiense,sh,,cabisbaixo,sh,,filodoxo,,,trouxismo,,
caxixeiro,sh,,caixote,sh,,anfioxo,,,muxirão,,
caxinxe,sh,,prefixo,ks,,doxológico,,,tauxiar,,
caxeta,sh,,abaixo-assinado,sh,,coxote,,,macuxi,,
relaxe,sh,,encaixo,sh,,adoxografia,,,muxinga,,
caxemira,sh,,freixo,sh,,coxofemoral,,,bruxinha,,
graxeira,sh,,queixoso,sh,,doxográfico,,,auxina,,
macaxera,sh,,rixoso,,,loxodromia,,,tauxia,,
paxá,sh,,crucifixo,ks,,doxomania,,,tauxiado,,
caxias,sh,,mixoscopia,ks,,coxonilho,,,bisesdrúxulo,,
abacaxi,sh,,tixotropia,ks,,goxo,,,auxiliante,,
faxina,sh,,baixo-império,sh,,toxoplasma,,,muxibento,,
taxador,sh,,apaixonante,sh,,poxoxô,,,puxirão,,
faxineiro,sh,,mixotrófico,,,toxofilia,,,uruxi,,
relaxador,sh,,queixosa,sh,,roxo-terra,,,puxirum,,
sintáxico,s,,teixo,sh,,adoxo,,,tuxi,,
parataxe,s,,paixonite,sh,,coxodinia,,,fluxibilidade,,
hipotaxe,s,,desapaixonar,sh,,loxodromismo,,,uxi,,
máxima,s,ks:,infixo,ks,,toxodonte,,,uxirana,,
máximo,s,,encaixotar,sh,,toxofilo,,,muxicão,,
axioma,ks,axiV,desapaixonado,sh,,toxofobia,,,tucuxi,,
axiológico,ks,axVl,contrabaixo,sh,,papo-roxo,,,auxiliário,,
axila,ks,ax#,baixo-ventre,sh,,cacodoxo,,,epizêuxis,,
axiologia,ks,axis,mixo,sh,,toxoide,,,cuxiú,,
taxionomia,ks,,apaixonamento,sh,,rei-coxo,,,auxiliarmente,,
maximizar,ks,,encaixotado,sh,,marroxo,,,buxina,,
profilaxia,ks,,encaixotamento,sh,,pau-roxo,,,fuxiquento,,
axial,ks,,pixote,sh,,cadoxo,,,frouxidade,,
praxiologia,ks,,rebaixo,sh,,ortodoxografia,,,fuxicada,,
axiomático,ks,,caixola,sh,,aurirroxo,,,jacuruxi,,
ataraxia,ks,,afixo,ks,,moxos,,,biesdrúxulo,,
maxilar,ks,,quixotescamente,sh,,bastardo-roxo,,,fluxionar,,
laxismo,ks,,releixo,sh,,monóxilo,,,muxicar,,
anafilaxia,ks,,apaixonadamente,,,poxorense,,,meruxinga,,
axiônimo,ks,,baixo-astral,,,loxocosmo,,,atauxiar,,
ataxia,ks,,paixoneta,,,ortodoxográfico,,,puxiri,,
praxiológico,ks,,gueixo,sh,,loxodrômico,,,desauxiliar,,
taxista,ks,,lixoso,,,poxoreano,,,perluxidade,,
maxila,ks,,interfixo,,,pseudodoxo,,,muxicongos,,
taxidermia,ks,,quixotismo,,,congoxoso,,,macuxis,,
maximização,ks,,pixotada,,,digitoxose,,,fluxionário,,
táxi,ks,,baixos,,,tintorroxo,,,uxim,,
clímax,ks,,mixomatoso,,,toxoglossos,,,fuxicação,,
tórax,ks,,remeleixo,,,toxona,,,uxirana-da-várzea,,
relax,ks,,peixota,,,notoxo,,,couxilgo,,
fax,ks,,ixodídeo,,,toxofílico,,,zeuxita,,
,,,corixo,,,chinchoxo,,,pauxiana,,
maximalismo,,,caixota,sh,,capoxo,,,enduxiquirape,,
praxia,,,desencaixotar,,,anfidoxo,,,rouxinolear,,
cambaxirra,,,quixote,,,pintorroxo,,,rouxinol-de-almada,,
quiropraxia,,,baixote,sh,,gerotoxo,,,buxiqui,,
taxiar,,,mixoma,,,coxovertebral,,,amoreuxia,,
taxinomia,,,termofixo,,,cartaloxo,,,proluxidade,,
apraxia,,,seixoso,sh,,boal-roxo,,,auximônio,,
maximalista,,,amêixoa,,,toxofóbico,,,uxipuçu,,
coaxial,,,quixotada,,,guicoxo,,,muxiri,,
cronaxia,,,baixo-bretão,,,estomoxo,,,rouxinolar,,
uniaxial,,,mixolídio,,,toxoplasmósico,,,desauxiliado,,
autodidaxia,,,pixoxó,,,toxoneura,,,muxingueiro,,
biaxial,,,altibaixos,,,maxoxolo,,,muxixão,,
praxiterapia,,,encaixotador,,,loxoftalmia,,,rouxinol-de-muralha,,
taxi,,,mixossarcoma,,,toxotídeo,,,tatuxima,,
praxismo,,,caixoteiro,,,toxopeptona,,,puxiana,,
taxidermista,,,desapaixonadamente,,,toxolítico,,,muxirom,,
laxidão,,,peixote,,,toxocarpo,,,muxiboso,,
praxista,,,apaixonadiço,,,toxoalexina,,,rouxinol-de-espadana,,
tigmotaxia,,,prefixoide,,,próximo,,,muruxi,,
axilar,,,feixota,,,próxima,,,actinauxismo,,
taximetria,,,ixora,,,protóxido,,,pauxianas,,
taxia,,,carixo,,,trióxido,,,defluxionário,,
dispraxia,,,mixosporídeos,,,criptotóxico,,,muxiloxilo,,
ortopraxia,,,roixo,,,urotóxico,,,puxicaraim,,
quiropraxista,,,anixo,,,artróxese,,,pirauxi,,
paxiúba,,,caixotão,,,eritróxilo,,,auxiômetro,,
paraxial,,,altibaixo,,,arsenicóxido,,,pepuxi,,
harpaxismo,,,caixotaria,,,paradoxal,,,nefráuxico,,
quimiotaxia,,,caixotim,,,poxa,,,auxitano,,
afilaxia,,,paixoeiro,,,paradoxalmente,,,japuruxita,,
distaxia,,,froixo,,,oxalá,,,hepatauxia,,
maximamente,,,corrixo,,,coxa,,,puxinanãense,,
taxidermizado,,,cadeixo,,,almoxarifado,,,pauxinara,,
relaxismo,,,mixomatose,,,broxa,,,nefrauxia,,
taraxia,,,cambixo,,,doxa,,,parabuxina,,
filaxia,,,queixosamente,,,sobrecoxa,,,fotauxismo,,
taxinômico,,,antefixo,,,arroxar,,,uxicuruá,,
axi,,,mixolipoma,,,roxa,,,heterauxina,,
